"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Impressions from Unpaid posts","Impressions from Boosted posts","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Engaged users","Negative feedback from users","Unique negative feedback from users"
457432639719113,100063571427253,"Jean-Pierre Weill - 3D painting on glass","✨FLASH SALE ✨

There’s nothing quite like spending time with loved ones on the beach on a hot summer day! ☀️ 🌊 

The Summer Friends painting is the perfect piece of art to remember these good times. ☺️

Take 25% OFF the Classique sized Summer Friends painting with coupon code july4th. 🏷  Shop: https://bit.ly/3yE0AuP

Offer ends tomorrow at midnight. Happy Independence Day! 🇺🇸",,0,"07/03/2022 08:07",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02Vf4jXTt7Kio9fWrjynrXxsUuNTb261qTe1i8LHTq8N8YG6FhpokP1yD794boZo6sl,0,0,Photos,,,,,Lifetime,186,168,12,11,1,0,2,1,,1,186,0,168,0,0,0,0,0,0,0,4,0,0
475498361245874,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Pssst.... We have so many cool events happening this summer at the studio! DM us to join or learn more. 👀 

#jeanpierreweillart #glasspainting #artwork #artstudio",,0,"07/27/2022 06:07",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0hz4jenfrdVFMKDBJf2qhGCMWQDggPAVBEKYQPuc6Y2r7AoCDJ6HRy3cbWs7gcoqsl,0,0,Photos,,,,,Lifetime,251,218,31,27,2,2,3,2,1,,251,0,218,0,0,0,0,0,0,0,6,0,0
474955884633455,100063571427253,"Jean-Pierre Weill - 3D painting on glass","For those music lovers and fans of Jerry Garcia, this painting is the perfect gift 🎁.

Jerry was the leader of the Grateful Dead. His love of improvisation flowed from his love of spontaneity 🫂. 

May we all be blessed with the ability to make music, whatever our music may be 🎼. 

#glasspainting #jeanpierreweill #artwork #artstudio #jerrygarcia",,0,"07/26/2022 10:07",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02XBk6N2j7ALkH8JNxXwkJcwZ2pLJsQrjZCzNinbrW86RkuZ8ntmLv4Da5GBe4dQNul,0,0,Photos,,,,,Lifetime,239,206,24,21,1,2,7,6,1,,239,0,206,0,0,0,0,0,0,0,9,0,0
469611305167913,100063571427253,"Jean-Pierre Weill - 3D painting on glass","A combination of hand-painting and print brings our paintings to life. There are three dimensions to each piece of artwork that create a play of light and shadow. But... it all starts with this. 🎨

#jeanpierreweill #glasspainting #artwork #artstudio",,0,"07/19/2022 07:07",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0G6Y1UJpWUgsRHcnuTxiSjC2DHB4mC5kh4L4PrdzQiXBPUwhH4a5HutnW7oPyARW5l,0,0,Photos,,,,,Lifetime,220,192,16,16,0,0,0,,,,220,0,192,0,0,0,0,0,0,0,1,0,0
465324708929906,100063571427253,"Jean-Pierre Weill - 3D painting on glass","We had an awesome workshop at our studio where we took things like wood, bark and acorns to create little people 🪵. 

Slide to see what the JPW employees came up with 👉🏻.

From time to time, we love taking a break from painting to do something else that’s creative and help the work flow 💃🏼.

Check out our story for more details 🤗.",,0,"07/13/2022 15:07",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02h2oZ3nEdc9J5rM8PRP8QbWbuHbacZxuF78yeEtLyik3xo3MuedtpWvr31UNBjukBl,0,0,Photos,,,,,Lifetime,200,179,88,81,5,2,16,7,9,,200,0,179,0,0,0,0,0,0,0,16,0,0
