id,permalink_url,views,content_category,published,privacy,post_views,live_status,length,is_crosspost_video,description,custom_labels,total_video_views,total_video_views_unique,total_video_views_autoplayed,total_video_views_clicked_to_play,total_video_views_organic,total_video_views_organic_unique,total_video_views_paid,total_video_views_paid_unique,total_video_views_sound_on,total_video_views_by_distribution_type,total_video_view_time_by_distribution_type,total_video_view_time_by_country_id,total_video_view_time_by_region_id,total_video_view_time_by_age_bucket_and_gender,total_video_play_count,total_video_consumption_rate,total_video_complete_views,total_video_complete_views_unique,total_video_complete_views_auto_played,total_video_complete_views_clicked_to_play,total_video_complete_views_organic,total_video_complete_views_organic_unique,total_video_complete_views_paid,total_video_complete_views_paid_unique,total_video_60s_excludes_shorter_views,total_video_30s_views,total_video_30s_views_unique,total_video_30s_views_auto_played,total_video_30s_views_clicked_to_play,total_video_30s_views_organic,total_video_30s_views_paid,total_video_10s_views,total_video_10s_views_unique,total_video_10s_views_auto_played,total_video_10s_views_clicked_to_play,total_video_10s_views_organic,total_video_10s_views_paid,total_video_10s_views_sound_on,total_video_15s_views,total_video_retention_graph,total_video_retention_graph_autoplayed,total_video_retention_graph_clicked_to_play,total_video_retention_graph_gender_male,total_video_retention_graph_gender_female,total_video_avg_time_watched,total_video_view_total_time,total_video_view_total_time_organic,total_video_view_total_time_paid,total_video_impressions,total_video_impressions_unique,total_video_impressions_paid_unique,total_video_impressions_paid,total_video_impressions_organic_unique,total_video_impressions_organic,total_video_impressions_viral_unique,total_video_impressions_viral,total_video_impressions_fan_unique,total_video_impressions_fan,total_video_impressions_fan_paid_unique,total_video_impressions_fan_paid,total_video_stories_by_action_type,total_video_reactions_by_type_total
8686734791420854,/1114316767364027/videos/8686734791420854,548,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,7.4,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
2231180520614149,/1114316767364027/videos/2231180520614149,219,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,11.4,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
3599483210349746,/1114316767364027/videos/3599483210349746,22,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,15.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
1261345091667291,/1114316767364027/videos/1261345091667291,24,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,15.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
563237883060215,/1114316767364027/videos/563237883060215,32,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,15.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
1265416861144029,/1114316767364027/videos/1265416861144029,117,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,15.0,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
577001521364778,/1114316767364027/videos/577001521364778,236,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,9.033,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
1608149966799630,/1114316767364027/videos/1608149966799630,131,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,11.4,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
1040823584193240,/1114316767364027/videos/1040823584193240,38,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,11.6,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
1395206698103971,/1114316767364027/videos/1395206698103971,9,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,11.4,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
846374347702696,/1114316767364027/videos/846374347702696,17,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,11.4,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
869299178737482,/1114316767364027/videos/869299178737482,14,ENTERTAINMENT,True,"{'allow': '', 'deny': '', 'description': 'Only me', 'friends': '', 'networks': '', 'value': 'SELF'}",0,,11.4,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{}
