"Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases","Date created","Date last edited",Objective,Bid,"Bid type","Reporting starts","Reporting ends",Starts
AD06_IMG_T4_Yellow,inactive,"7-day click or 1-day view",,,90,1.722222,,2,Daily,4.72,מתמשך,155,30.451613,4,1.18,2.580645,7,4.516129,0.674286,4,1,1,,,,,,,,,2022-01-14,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-14
AD02_IMG_T1_Black,inactive,"7-day click",,,157,1.815287,,20,Daily,8.41,מתמשך,285,29.508772,7,1.201429,2.45614,11,3.859649,0.764545,5,2,2,,,,,,,,,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-13
AD03_IMG_T4_Black,inactive,"7-day click",,,69,2.536232,,20,Daily,1.81,מתמשך,175,10.342857,3,0.603333,1.714286,4,2.285714,0.4525,2,5,5,,,,,,,,,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-13
AD08_Video_T2,inactive,"7-day click",1,actions:offsite_conversion.fb_pixel_purchase,348,1.399425,18.04,20,Daily,18.04,מתמשך,487,37.043121,12,1.503333,2.464066,21,4.312115,0.859048,8,4,4,2,2,1,1,3.04878,3.04878,1,1,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-13
AD01_IMG_T2_Black,inactive,"7-day click",,,125,2.08,,20,Daily,5.72,מתמשך,260,22,3,1.906667,1.153846,3,1.153846,1.906667,3,1,1,,,,,,,,,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-13
AD04_IMG_T2_Yellow,inactive,"7-day click or 1-day view",,,185,1.767568,,2,Daily,5.56,מתמשך,327,17.003058,12,0.463333,3.669725,12,3.669725,0.463333,8,,,,,,,,,,,2022-01-14,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-14
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,40,2.15,,2,Daily,2.55,מתמשך,86,29.651163,2,1.275,2.325581,3,3.488372,0.85,2,,,,,,,,,,,2022-01-14,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-14
"New Traffic Ad",inactive,"7-day click or 1-day view",101,actions:link_click,1960,1.359184,0.34653465,35,Lifetime,35,2022-01-24,2664,13.138138,101,0.346535,3.791291,125,4.692192,0.28,81,29,29,,,,,,,,,2022-01-17,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-17
"New Traffic Ad",inactive,"7-day click or 1-day view",67,actions:link_click,3534,1.103282,0.52238806,35,Lifetime,35,2022-01-29,3899,8.976661,67,0.522388,1.718389,85,2.180046,0.411765,52,8,8,,,,,,,,,2022-01-21,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-01-21
"New Traffic Ad",inactive,"7-day click or 1-day view",66,actions:link_click,1993,1.133467,0.75757576,50,Lifetime,50,2022-02-09,2259,22.133687,66,0.757576,2.921647,71,3.142984,0.704225,43,,,,,,,,,,,2022-02-03,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-03
AD01_IMG_T2_Black,inactive,"7-day click or 1-day view",,,167,1.107784,,5,Daily,3.5,מתמשך,185,18.918919,3,1.166667,1.621622,4,2.162162,0.875,3,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD06_IMG_T4_Yellow,inactive,"7-day click or 1-day view",,,39,1.076923,,5,Daily,0.44,מתמשך,42,10.47619,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD07_Video_T4,inactive,"7-day click or 1-day view",,,74,1.054054,,5,Daily,1.78,מתמשך,78,22.820513,1,1.78,1.282051,1,1.282051,1.78,1,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD01_IMG_T2_Black,inactive,"7-day click or 1-day view",,,73,1.027397,,5,Daily,1.35,מתמשך,75,18,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,12,1,,5,Daily,0.25,מתמשך,12,20.833333,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",,,292,1.037671,,5,Daily,8.05,מתמשך,303,26.567657,14,0.575,4.620462,18,5.940594,0.447222,9,1,1,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD04_IMG_T2_Yellow,inactive,"7-day click or 1-day view",,,269,1.100372,,5,Daily,4.01,מתמשך,296,13.547297,4,1.0025,1.351351,4,1.351351,1.0025,4,2,2,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD07_Video_T4,inactive,"7-day click or 1-day view",,,203,1.024631,,5,Daily,6.58,מתמשך,208,31.634615,5,1.316,2.403846,10,4.807692,0.658,5,4,4,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD06_IMG_T4_Yellow,inactive,"7-day click or 1-day view",,,47,1.106383,,5,Daily,0.79,מתמשך,52,15.192308,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD07_Video_T4,inactive,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,312,1.073718,9.13,50,Daily,9.13,מתמשך,335,27.253731,7,1.304286,2.089552,9,2.686567,1.014444,5,95,95,1,1,1,1,196.495071,196.495071,1,1,2022-02-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,8,1,,5,Daily,0.1,מתמשך,8,12.5,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",,,971,1.053553,,5,Daily,29.47,מתמשך,1023,28.807429,29,1.016207,2.8348,36,3.519062,0.818611,26,15,15,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,19,1.263158,,50,Daily,0.01,מתמשך,24,0.416667,,,,0,0,0,,,,,,,,,,,,2022-02-05,2022-02-26,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD06_IMG_T4_Yellow,inactive,"7-day click or 1-day view",,,146,1.493151,,50,Daily,3.82,מתמשך,218,17.522936,1,3.82,0.458716,1,0.458716,3.82,1,1,1,1,1,,,,,,,2022-02-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD04_IMG_T2_Yellow,inactive,"7-day click or 1-day view",,,222,1.193694,,50,Daily,4.15,מתמשך,265,15.660377,2,2.075,0.754717,4,1.509434,1.0375,1,,,,,,,,,,,2022-02-05,2022-02-26,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,3469,1.131162,125.5,50,Daily,125.5,מתמשך,3924,31.982671,126,0.996032,3.211009,183,4.663609,0.685792,112,58,58,1,1,2,2,0.549801,0.549801,1,1,2022-02-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD07_Video_T4,inactive,"7-day click or 1-day view",,,88,1.079545,,5,Daily,1.95,מתמשך,95,20.526316,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD03_IMG_T4_Black,inactive,"7-day click or 1-day view",,,37,1.324324,,5,Daily,0.79,מתמשך,49,16.122449,1,0.79,2.040816,1,2.040816,0.79,1,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD01_IMG_T2_Black,inactive,"7-day click or 1-day view",,,40,1.125,,5,Daily,0.52,מתמשך,45,11.555556,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,3,1.333333,,5,Daily,0.02,מתמשך,4,5,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",,,1689,1.095323,,5,Daily,38.85,מתמשך,1850,21,59,0.658475,3.189189,91,4.918919,0.426923,58,14,14,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD01_IMG_T2_Black,inactive,"7-day click or 1-day view",,,216,1.083333,,5,Daily,4.16,מתמשך,234,17.777778,3,1.386667,1.282051,7,2.991453,0.594286,2,2,2,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
