"Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases","Date created","Date last edited",Objective,Bid,"Bid type","Reporting starts","Reporting ends",Starts
AD09_Video_T4,inactive,"7-day click or 1-day view",,,1036,1.028958,,5,Daily,38.14,מתמשך,1066,35.778612,29,1.315172,2.72045,43,4.033771,0.886977,26,2,2,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",,,1628,1.383292,,"Using campaign budget",0,27.58,מתמשך,2252,12.246892,16,1.72375,0.71048,20,0.888099,1.379,14,6,6,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",,,2074,1.225169,,"Using campaign budget",0,51.17,מתמשך,2541,20.137741,32,1.599063,1.259347,45,1.770956,1.137111,26,4,4,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",,,2392,1.279264,,"Using campaign budget",0,72.42,מתמשך,3060,23.666667,54,1.341111,1.764706,71,2.320261,1.02,39,27,27,2,2,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,14506,1.528057,120.21,"Using campaign budget",0,120.21,מתמשך,22166,5.423171,123,0.977317,0.554904,146,0.658666,0.823356,98,70,70,1,1,1,1,0.573996,0.573996,1,1,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,6477,1.309557,42.265,"Using campaign budget",0,84.53,מתמשך,8482,9.96581,114,0.741491,1.344023,143,1.685923,0.591119,92,24,24,,,,,,,2,2,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,1488,1.3125,17.635,"Using campaign budget",0,35.27,מתמשך,1953,18.059396,40,0.88175,2.048131,47,2.406554,0.750426,31,2,2,,,,,,,2,2,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",,,2954,1.313473,,"Using campaign budget",0,100.33,מתמשך,3880,25.858247,84,1.194405,2.164948,104,2.680412,0.964712,51,38,38,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,2435,1.400411,20.615,"Using campaign budget",0,41.23,מתמשך,3410,12.090909,38,1.085,1.11437,41,1.202346,1.00561,31,24,24,1,1,2,2,3.347077,3.347077,2,2,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click or 1-day view",,,1029,1.309038,,"Using campaign budget",0,23.34,מתמשך,1347,17.327394,23,1.014783,1.707498,26,1.930215,0.897692,16,1,1,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,794,1.255668,,"Using campaign budget",0,15.91,מתמשך,997,15.957874,9,1.767778,0.902708,16,1.604814,0.994375,4,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,836,1.327751,,"Using campaign budget",0,13.47,מתמשך,1110,12.135135,13,1.036154,1.171171,15,1.351351,0.898,10,8,8,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,2072,1.263514,,"Using campaign budget",0,43.55,מתמשך,2618,16.634836,30,1.451667,1.145913,39,1.489687,1.116667,23,24,24,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,1124,1.233986,,"Using campaign budget",0,31.42,מתמשך,1387,22.653208,16,1.96375,1.153569,19,1.369863,1.653684,8,8,8,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,928,1.360991,,"Using campaign budget",0,20.85,מתמשך,1263,16.508314,13,1.603846,1.029295,18,1.425178,1.158333,8,10,10,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,10600,1.636226,,"Using campaign budget",0,39.73,מתמשך,17344,2.290706,38,1.045526,0.219096,49,0.282518,0.810816,25,6,6,2,2,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,1654,1.362152,,"Using campaign budget",0,43.37,מתמשך,2253,19.249889,33,1.314242,1.464714,40,1.775411,1.08425,19,54,54,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,3128,1.298913,,"Using campaign budget",0,39.31,מתמשך,4063,9.675117,43,0.914186,1.058331,50,1.230618,0.7862,39,15,15,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click or 1-day view",,,998,1.302605,,"Using campaign budget",0,20.31,מתמשך,1300,15.623077,18,1.128333,1.384615,19,1.461538,1.068947,15,2,2,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,1422,1.414909,,"Using campaign budget",0,36.41,מתמשך,2012,18.096421,33,1.103333,1.640159,40,1.988072,0.91025,26,29,29,4,4,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,559,1.198569,,"Using campaign budget",0,5.03,מתמשך,670,7.507463,1,5.03,0.149254,1,0.149254,5.03,,2,2,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,628,1.437898,,"Using campaign budget",0,12.16,מתמשך,903,13.466224,7,1.737143,0.775194,11,1.218162,1.105455,7,6,6,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,604,1.273179,,"Using campaign budget",0,12.17,מתמשך,769,15.825748,11,1.106364,1.430429,12,1.560468,1.014167,7,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,392,1.153061,,"Using campaign budget",0,6.12,מתמשך,452,13.539823,2,3.06,0.442478,4,0.884956,1.53,1,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,802,1.374065,,"Using campaign budget",0,8.88,מתמשך,1102,8.058076,5,1.776,0.453721,7,0.635209,1.268571,1,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,6363,1.464561,,"Using campaign budget",0,11.03,מתמשך,9319,1.183603,4,2.7575,0.042923,7,0.075115,1.575714,3,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,436,1.286697,,"Using campaign budget",0,7.23,מתמשך,561,12.887701,2,3.615,0.356506,3,0.534759,2.41,1,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click or 1-day view",,,326,1.417178,,"Using campaign budget",0,6.89,מתמשך,462,14.91342,,,,1,0.21645,6.89,,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,116,1.198276,,"Using campaign budget",0,1.56,מתמשך,139,11.223022,5,0.312,3.597122,6,4.316547,0.26,5,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,1277,1.324197,,"Using campaign budget",0,25.44,מתמשך,1691,15.044352,11,2.312727,0.650503,18,1.064459,1.413333,9,5,5,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,211,1.246446,,"Using campaign budget",0,6.07,מתמשך,263,23.079848,3,2.023333,1.140684,3,1.140684,2.023333,2,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,3137,1.347785,,"Using campaign budget",0,5.86,מתמשך,4228,1.385998,5,1.172,0.118259,5,0.118259,1.172,6,2,2,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,230,1.195652,,"Using campaign budget",0,5.57,מתמשך,275,20.254545,3,1.856667,1.090909,4,1.454545,1.3925,1,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,341,1.211144,,"Using campaign budget",0,3.85,מתמשך,413,9.322034,3,1.283333,0.726392,5,1.210654,0.77,3,4,4,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,553,1.242315,,"Using campaign budget",0,3,מתמשך,687,4.366812,2,1.5,0.291121,3,0.436681,1,1,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,101,1.287129,,"Using campaign budget",0,2.54,מתמשך,130,19.538462,,,,0,0,0,,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click or 1-day view",,,3284,1.38246,,"Using campaign budget",0,62.66,מתמשך,4540,13.801762,31,2.02129,0.682819,50,1.101322,1.2532,22,7,7,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click",2,actions:offsite_conversion.fb_pixel_purchase,368,2.122283,14.63,"Using campaign budget",0,29.26,מתמשך,781,37.464789,18,1.625556,2.304738,23,2.944942,1.272174,12,26,26,4,4,3,3,4.716336,4.716336,2,2,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click",,,83,1.795181,,"Using campaign budget",0,5.65,מתמשך,149,37.919463,7,0.807143,4.697987,8,5.369128,0.70625,5,2,2,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click",,,312,2.346154,,"Using campaign budget",0,15.01,מתמשך,732,20.505464,10,1.501,1.36612,12,1.639344,1.250833,4,1,1,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click",,,173,2.947977,,"Using campaign budget",0,5.4,מתמשך,510,10.588235,2,2.7,0.392157,3,0.588235,1.8,2,,,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click",2,actions:offsite_conversion.fb_pixel_purchase,794,2.308564,37.19,"Using campaign budget",0,74.38,מתמשך,1833,40.578287,49,1.517959,2.673213,66,3.600655,1.12697,40,126,126,2,2,2,2,1.669804,1.669804,2,2,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click",,,157,2.509554,,"Using campaign budget",0,17.25,מתמשך,394,43.781726,9,1.916667,2.284264,12,3.045685,1.4375,7,,,2,2,2,2,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click",,,127,1.913386,,"Using campaign budget",0,8.96,מתמשך,243,36.872428,7,1.28,2.880658,8,3.292181,1.12,7,6,6,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click",,,344,2.75,,"Using campaign budget",0,32.05,מתמשך,946,33.879493,22,1.456818,2.325581,30,3.171247,1.068333,17,17,17,1,1,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD10_IMG_T4_V,inactive,"7-day click",2,actions:offsite_conversion.fb_pixel_purchase,204,3.455882,14.475,"Using campaign budget",0,28.95,מתמשך,705,41.06383,10,2.895,1.41844,11,1.560284,2.631818,9,15,15,2,2,2,2,3.813472,3.813472,2,2,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD13_IMG_T4_V,inactive,"7-day click",,,72,2.597222,,"Using campaign budget",0,9.32,מתמשך,187,49.839572,7,1.331429,3.743316,9,4.812834,1.035556,7,14,14,,,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD12_IMG_T4_V,inactive,"7-day click",,,130,2.546154,,"Using campaign budget",0,11.58,מתמשך,331,34.984894,4,2.895,1.208459,5,1.510574,2.316,4,4,4,1,1,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
AD11_IMG_T4_V,inactive,"7-day click",,,153,3.352941,,"Using campaign budget",0,24.02,מתמשך,513,46.822612,13,1.847692,2.534113,16,3.118908,1.50125,11,6,6,2,2,,,,,,,2022-02-07,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-07
"New Post engagement Ad",inactive,"7-day click or 1-day view",219,actions:post_engagement,717,1.097629,0.0913242,20,Lifetime,20,2022-02-25,787,25.412961,,,,3,0.381194,6.666667,,,,,,,,,,,,2022-02-17,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-17
AD09_Video_T4,inactive,"7-day click",,,62,2.241935,,"Using campaign budget",0,11.24,2022-02-28,139,80.863309,3,3.746667,2.158273,4,2.877698,2.81,3,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD04_IMG_T2_Yellow,inactive,"7-day click",,,11,2.181818,,"Using campaign budget",0,1.58,2022-02-28,24,65.833333,1,1.58,4.166667,1,4.166667,1.58,1,1,1,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD06_IMG_T4_Yellow,inactive,"7-day click",,,61,1.442623,,"Using campaign budget",0,2.75,2022-02-28,88,31.25,1,2.75,1.136364,1,1.136364,2.75,1,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD05_IMG_T1_Yellow,inactive,"7-day click",1,actions:offsite_conversion.fb_pixel_purchase,24,2.041667,3.22,"Using campaign budget",0,3.22,2022-02-28,49,65.714286,4,0.805,8.163265,4,8.163265,0.805,4,13,13,2,2,1,1,49.378882,49.378882,1,1,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD07_Video_T4,inactive,"7-day click",,,42,1.333333,,"Using campaign budget",0,6.11,2022-02-28,56,109.107143,2,3.055,3.571429,5,8.928571,1.222,2,4,4,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD06_IMG_T4_Yellow,inactive,"7-day click",,,2,1.5,,"Using campaign budget",0,0.02,2022-02-28,3,6.666667,,,,0,0,0,,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD05_IMG_T1_Yellow,inactive,"7-day click",,,159,2.194969,,"Using campaign budget",0,5.49,2022-02-28,349,15.730659,6,0.915,1.719198,8,2.292264,0.68625,5,1,1,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD06_IMG_T4_Yellow,inactive,"7-day click",,,27,1.407407,,"Using campaign budget",0,1.09,2022-02-28,38,28.684211,,,,0,0,0,,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD07_Video_T4,inactive,"7-day click",,,115,1.252174,,"Using campaign budget",0,7.19,2022-02-28,144,49.930556,4,1.7975,2.777778,6,4.166667,1.198333,4,6,6,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD09_Video_T4,inactive,"7-day click",,,1001,1.505495,,"Using campaign budget",0,119.26,2022-02-28,1507,79.137359,81,1.472346,5.374917,108,7.166556,1.104259,80,49,49,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD04_IMG_T2_Yellow,inactive,"7-day click",,,77,1.831169,,"Using campaign budget",0,2.96,2022-02-28,141,20.992908,1,2.96,0.70922,1,0.70922,2.96,1,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD03_IMG_T4_Black,inactive,"7-day click",,,34,4.529412,,"Using campaign budget",0,2.43,2022-02-28,154,15.779221,,,,0,0,0,,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD04_IMG_T2_Yellow,inactive,"7-day click",,,104,1.826923,,"Using campaign budget",0,4.33,2022-02-28,190,22.789474,3,1.443333,1.578947,4,2.105263,1.0825,3,3,3,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD07_Video_T4,inactive,"7-day click",,,154,1.376623,,"Using campaign budget",0,10.71,2022-02-28,212,50.518868,4,2.6775,1.886792,12,5.660377,0.8925,3,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD09_Video_T4,inactive,"7-day click",2,actions:offsite_conversion.fb_pixel_purchase,1246,1.526485,52.455,"Using campaign budget",0,104.91,2022-02-28,1902,55.157729,95,1.104316,4.994742,151,7.939012,0.694768,82,42,42,2,2,1,1,1.315413,1.315413,2,2,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD08_Video_T2,inactive,"7-day click",,,59,1.169492,,"Using campaign budget",0,2.67,2022-02-28,69,38.695652,2,1.335,2.898551,3,4.347826,0.89,2,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD05_IMG_T1_Yellow,inactive,"7-day click",,,205,1.453659,,"Using campaign budget",0,10.55,2022-02-28,298,35.402685,8,1.31875,2.684564,13,4.362416,0.811538,7,1,1,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD01_IMG_T2_Black,inactive,"7-day click",,,53,1.924528,,"Using campaign budget",0,2.47,2022-02-28,102,24.215686,,,,1,0.980392,2.47,,,,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
AD02_IMG_T1_Black,inactive,"7-day click",,,27,1.111111,,"Using campaign budget",0,1.02,2022-02-28,30,34,1,1.02,3.333333,2,6.666667,0.51,1,1,1,,,,,,,,,2022-02-26,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-26
"New Post engagement Ad",inactive,"7-day click or 1-day view",189,actions:post_engagement,890,1.12809,0.06349206,12,Lifetime,12,2022-03-05,1004,11.952191,,,,2,0.199203,6,,,,,,,,,,,,2022-02-28,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-28
"New Post engagement Ad",inactive,"7-day click or 1-day view",346,actions:post_engagement,909,1.115512,0.14450867,50,Lifetime,50,2022-03-23,1014,49.309665,,,,0,0,0,,,,,,,,,,,,2022-03-10,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-03-10
"New Traffic Ad",inactive,"7-day click or 1-day view",147,actions:link_click,2624,1.160442,0.34013605,50,Lifetime,50,2022-03-26,3045,16.420361,147,0.340136,4.827586,173,5.681445,0.289017,127,5,5,,,,,,,,,2022-03-22,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-03-22
"New Post engagement Ad",inactive,"7-day click or 1-day view",151,actions:post_engagement,643,1.116641,0.0794702,12,Lifetime,12,2022-04-04,718,16.713092,,,,1,0.139276,12,,,,,,,,,,,,2022-03-28,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-03-28
"New Post engagement Ad",inactive,"7-day click or 1-day view",124,actions:post_engagement,651,1.247312,0.16129032,20,Lifetime,20,2022-04-14,812,24.630542,,,,1,0.123153,20,,,,,,,,,,,,2022-04-05,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-04-05
"New Traffic Ad",inactive,"7-day click or 1-day view",153,actions:link_click,2670,1.182022,0.39215686,60,Lifetime,60,2022-05-08,3156,19.011407,153,0.392157,4.847909,165,5.228137,0.363636,111,6,6,,,,,,,,,2022-04-27,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-04-27
"New Post engagement Ad",inactive,"7-day click or 1-day view",338,actions:post_engagement,4279,1.48329,0.07393491,25,Lifetime,24.99,2022-05-20,6347,3.937293,,,,11,0.17331,2.271818,,,,,,,,,,,,2022-05-09,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-05-09
"New Post engagement Ad",inactive,"7-day click or 1-day view",298,actions:post_engagement,1292,1.129257,0.06711409,20,Lifetime,20,2022-06-30,1459,13.708019,,,,4,0.27416,5,,,,,,,,,,,,2022-06-22,2024-10-06,Engagement,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-06-22
"New Traffic Ad",inactive,"7-day click or 1-day view",92,actions:link_click,4130,1.159322,1.08695652,100,Lifetime,100,2022-06-28,4788,20.885547,92,1.086957,1.92147,132,2.756892,0.757576,34,,,,,,,,,,,2022-06-22,2024-10-06,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-06-22
"Post: """"Over 20 years ago, with 5 young children, I was...""",inactive,-,,,0,0,,5,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2018-01-14,2024-10-07,"Video Views",0,CPA,2021-09-07,2024-10-07,2018-01-14
"Default name - Conversions",inactive,-,,,0,0,,45,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-05-11,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2020-05-11
"Default name - Traffic",inactive,-,,,0,0,,20,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-05-16,2024-10-07,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2020-05-16
"minute video",inactive,-,,,0,0,,20,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-05-20,2024-10-07,Traffic,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2020-05-20
"קרוסלה - 6 ציורים",inactive,-,,,0,0,,17,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-06-08,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2020-06-04
"Store collection All Products - Catalog sales",inactive,-,,,0,0,,8,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-06-16,2024-10-07,"Catalog Sales",0,CPA,2021-09-07,2024-10-07,2020-06-16
"Mini Unbox (old post)",inactive,-,,,0,0,,20,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-07-23,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2020-07-23
