,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Content views,Website content views,Checkouts Initiated,Website checkouts initiated,Adds of payment info,Website adds of payment info,Purchase ROAS (return on ad spend),Website purchase ROAS (return on ad spend),Purchases,Website purchases,Date created,Date last edited,Objective,Bid,Bid type,Reporting starts,Reporting ends,Starts
111601,AD01_IMG_T2_Black,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,256,1.339844,4.05,20,Daily,4.05,מתמשך,343,11.80758,11.0,0.368182,3.206997,10,2.915452,0.405,10.0,10.0,10.0,1.0,1.0,1.0,1.0,13.580247,13.580247,1.0,1.0,2022-01-05,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-05
111670,AD08_Video_T2,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,49,1.306122,1.81,20,Daily,1.81,מתמשך,64,28.28125,2.0,0.905,3.125,4,6.25,0.4525,2.0,1.0,1.0,1.0,1.0,1.0,1.0,30.38674,30.38674,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-13
111697,AD05_IMG_T1_Yellow,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,79,1.632911,1.48,20,Daily,1.48,מתמשך,129,11.472868,3.0,0.493333,2.325581,5,3.875969,0.296,3.0,1.0,1.0,1.0,1.0,1.0,1.0,85.810811,85.810811,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-13
111700,AD01,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,339,2.734513,31.32,Using campaign budget,0,31.32,מתמשך,927,33.786408,31.0,1.010323,3.344121,40,4.314995,0.783,23.0,31.0,31.0,1.0,1.0,1.0,1.0,1.756066,1.756066,1.0,1.0,2022-01-13,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-01-18,2022-01-24,2022-01-13
111759,AD01,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,1724,1.786543,104.58,Using campaign budget,0,104.58,מתמשך,3080,33.954545,115.0,0.909391,3.733766,156,5.064935,0.670385,99.0,109.0,109.0,1.0,1.0,1.0,1.0,1.214381,1.214381,1.0,1.0,2022-01-13,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
111761,AD06_IMG_T4_Yellow,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,540,1.32963,7.37,10,Daily,7.37,מתמשך,718,10.264624,11.0,0.67,1.532033,13,1.810585,0.566923,4.0,3.0,3.0,,,1.0,1.0,77.883311,77.883311,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
111762,AD09_Video_T4,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,2032,1.069882,43.64,10,Daily,43.64,מתמשך,2174,20.073597,31.0,1.407742,1.425943,45,2.069917,0.969778,24.0,2.0,2.0,1.0,1.0,1.0,1.0,1.489459,1.489459,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
111827,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,244,1.409836,14.35,2,Daily,14.35,מתמשך,344,41.715116,8.0,1.79375,2.325581,16,4.651163,0.896875,7.0,3.0,3.0,,,,,3.832753,3.832753,1.0,1.0,2022-01-14,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-14
111922,AD09_Video_T4,inactive,7-day click,2.0,actions:offsite_conversion.fb_pixel_purchase,1211,1.078448,14.875,10,Daily,29.75,מתמשך,1306,22.779479,30.0,0.991667,2.29709,38,2.909648,0.782895,30.0,7.0,7.0,,,,,,,2.0,2.0,2022-01-13,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-13
111948,AD07_Video_T4,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,4448,1.232014,89.43,20,Daily,178.86,מתמשך,5480,32.638686,148.0,1.208514,2.70073,240,4.379562,0.74525,127.0,74.0,74.0,2.0,2.0,2.0,2.0,0.616124,0.616124,2.0,2.0,2022-01-05,2022-01-22,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
