"Campaign name","Campaign Delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases","Date created","Date last edited",Objective,"Reporting starts","Reporting ends",Starts
"Conversions RMK visitors180 US|UK Fiverr",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-05-28,2021-06-09,CONVERSIONS,2021-09-01,2024-10-01,2021-05-28
"Conversions COLD Mini General US|UK Fiverr",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-06-04,2021-06-09,CONVERSIONS,2021-09-01,2024-10-01,2021-06-04
"Conversions COLD Mini CBO US|UK Aboutus(testimonials)",inactive,-,,,0,0,,120,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-06-04,2021-06-09,CONVERSIONS,2021-09-01,2024-10-01,2021-06-04
G_DPA_Purchase_RMK,inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2022-01-05,2022-01-08,"Catalog Sales",2021-09-01,2024-10-01,2022-01-05
"ins artwork home",completed,"7-day click or 1-day view",219,actions:post_engagement,717,1.097629,0.0913242,"Using ad set budget",0,20,2022-02-25,787,25.412961,,,,3,0.381194,6.666667,,,,,,,,,,,,2022-02-17,2022-02-17,Engagement,2021-09-01,2024-10-01,2022-02-17
G_Conversions_Purchase_RMK_US_2,inactive,"7-day click",3,actions:offsite_conversion.fb_pixel_purchase,2642,2.079864,100,300,Lifetime,300,2022-02-28,5495,54.595086,216,1.388889,3.930846,324,5.896269,0.925926,199,121,121,4,4,2,2,0.99,0.99,3,3,2022-02-26,2022-03-01,CONVERSIONS,2021-09-01,2024-10-01,2022-02-26
"ins brookville painting",completed,"7-day click or 1-day view",189,actions:post_engagement,890,1.12809,0.06349206,"Using ad set budget",0,12,2022-03-05,1004,11.952191,,,,2,0.199203,6,,,,,,,,,,,,2022-02-28,2022-02-28,Engagement,2021-09-01,2024-10-01,2022-02-28
"ins spread the word",completed,"7-day click or 1-day view",346,actions:post_engagement,909,1.115512,0.14450867,"Using ad set budget",0,50,2022-03-23,1014,49.309665,,,,0,0,0,,,,,,,,,,,,2022-03-10,2022-03-10,Engagement,2021-09-01,2024-10-01,2022-03-10
"ins code together",completed,"7-day click or 1-day view",147,actions:link_click,2624,1.160442,0.34013605,"Using ad set budget",0,50,2022-03-26,3045,16.420361,147,0.340136,4.827586,173,5.681445,0.289017,127,5,5,,,,,,,,,2022-03-22,2022-03-22,Traffic,2021-09-01,2024-10-01,2022-03-22
"ins laughing",completed,"7-day click or 1-day view",151,actions:post_engagement,643,1.116641,0.0794702,"Using ad set budget",0,12,2022-04-04,718,16.713092,,,,1,0.139276,12,,,,,,,,,,,,2022-03-28,2022-03-28,Engagement,2021-09-01,2024-10-01,2022-03-28
"ins audrey",completed,"7-day click or 1-day view",124,actions:post_engagement,651,1.247312,0.16129032,"Using ad set budget",0,20,2022-04-14,812,24.630542,,,,1,0.123153,20,,,,,,,,,,,,2022-04-05,2022-04-05,Engagement,2021-09-01,2024-10-01,2022-04-05
"mothers day insta",completed,"7-day click or 1-day view",153,actions:link_click,2670,1.182022,0.39215686,"Using ad set budget",0,60,2022-05-08,3156,19.011407,153,0.392157,4.847909,165,5.228137,0.363636,111,6,6,,,,,,,,,2022-04-27,2022-04-27,Traffic,2021-09-01,2024-10-01,2022-04-27
"ins bts",completed,"7-day click or 1-day view",338,actions:post_engagement,4279,1.48329,0.07393491,"Using ad set budget",0,24.99,2022-05-20,6347,3.937293,,,,11,0.17331,2.271818,,,,,,,,,,,,2022-05-09,2022-05-09,Engagement,2021-09-01,2024-10-01,2022-05-09
